text1,text2,label
Faire de la photographie,Laver les vitres,0
Faire les courses,Installer une étagère,0
Faire du stretching,Préparer un gâteau,0
Jouer au volleyball,Faire de la randonnée,1
Animer une réunion,Faire une sauce,0
Prendre des vitamines,Faire du stretching,1
Dormir suffisamment,Manger équilibré,1
Programmer en Python,Réparer un meuble,0
Peindre un tableau,Cuisiner des légumes,0
Conduire un camion,Marcher en ville,1
Corriger des copies,Préparer une leçon,1
Animer une réunion,Faire un discours,1
Jouer au volleyball,Faire de l'escalade,1
Faire de la danse,Faire de la physiothérapie,0
Tester un programme,Configurer un réseau,1
Prendre des vitamines,Prendre l'air frais,1
Composer une mélodie,Investir en bourse,0
Peindre un tableau,Tailler les arbres,0
Envoyer un email,Interviewer quelqu'un,1
Organiser une formation,Enseigner une langue,1
Prendre des vitamines,Faire de l'exercice,1
Automatiser une tâche,Développer une application,1
Pratiquer la relaxation,Faire de l'exercice,1
Faire une sauce,Cuisiner des légumes,1
Faire les courses,Animer une réunion,0
Jouer au volleyball,Préparer une salade,0
Aller chez le dentiste,Prendre des vitamines,1
Corriger des copies,Tailler les arbres,0
Sculpter une statue,Préparer un dessert,0
Éplucher des légumes,Animer une discussion,0
Jouer au basketball,Retourner un produit,0
Jouer de la batterie,Faire de la photographie,1
Pratiquer le surf,Préparer une soupe,0
Faire de la photographie,Créer un dessin,1
Jouer de la guitare,Organiser un placard,0
Négocier un contrat,Faire une sauce,0
Conduire un tracteur,Préparer un dessert,0
Peindre un tableau,Développer une application,0
Jouer au volleyball,Courir un marathon,1
Faire de la danse,Nager en piscine,1
Modérer un débat,Faire cuire des pâtes,0
Faire une sauce,Écrire une chanson,0
Jouer au volleyball,Pratiquer le surf,1
Composer une mélodie,Dessiner un portrait,1
Conduire une voiture,Marcher en ville,1
Tester un programme,Animer un atelier,0
Sécuriser un serveur,Réparer un ordinateur,1
Prendre des vitamines,Prendre l'air frais,1
Calculer ses dépenses,Acheter en ligne,1
Aller chez le dentiste,Prendre l'air frais,1
Préparer un gâteau,Optimiser un système,0
Rédiger une lettre,Faire le ménage,0
Créer un algorithme,Optimiser un système,1
Préparer un examen,Corriger des copies,1
Aller chez le dentiste,Faire de la méditation,1
Faire du ski,Créer un dessin,0
Peindre un tableau,Faire du tutorat,0
Superviser des élèves,Éplucher des légumes,0
Organiser une formation,Prendre la parole en public,0
Faire du vélo,Marcher en ville,0
Créer une base de données,Tester un programme,1
Faire du ski,Faire de l'exercice,0
Automatiser une tâche,Faire une présentation,0
Faire la vaisselle,Planter des fleurs,1
Acheter des vêtements,Préparer une salade,0
Faire de l'escalade,Jouer au basketball,1
Entretenir le jardin,Faire la vaisselle,1
Prendre la parole en public,Présenter un projet,1
Prendre des vitamines,Boire beaucoup d'eau,1
Expliquer un concept,Jouer de la guitare,0
Prendre soin de sa peau,Dessiner un portrait,0
Faire de l'exercice,Consulter un médecin,1
Écrire une chanson,Composer une chanson,1
Conduire un tracteur,Utiliser un vélo électrique,1
Jouer de la guitare,Jouer du violon,1
Donner des conseils,Animer un atelier,1
Sécuriser un serveur,Prendre la parole en public,0
Programmer en Python,Faire du ski,0
Faire du jogging,Faire une sauce,0
Prendre la parole en public,Faire un discours,1
Sculpter une statue,Faire de la méditation,0
Faire un discours,Envoyer un email,1
Conduire un camion,Conduire un tracteur,1
Superviser des élèves,Expliquer un concept,1
Faire un bilan de santé,Faire de l'exercice,1
Faire les courses,Calculer ses dépenses,1
Faire de la randonnée,Faire du jogging,1
Interviewer quelqu'un,Faire une présentation,1
Faire du shopping,Demander un crédit,1
Aller chez le dentiste,Pratiquer la relaxation,1
Configurer un réseau,Déployer une application,1
Déployer une application,Prendre l'avion,0
Prendre la parole en public,Jouer au tennis,0
Faire de l'auto-stop,Faire du stretching,0
Faire de l'exercice,Faire du ski,0
Créer une base de données,Préparer un examen,0
Faire le ménage,Tailler les arbres,1
Prendre le train,Marcher en ville,1
Prendre l'air frais,Faire de l'exercice,1
Interviewer quelqu'un,Rédiger un rapport,1
Conduire un tracteur,Faire de l'auto-stop,1
Pratiquer la relaxation,Aller chez le dentiste,1
Tester un programme,Analyser des données,1
Faire une sauce,Dessiner un portrait,0
Faire de la danse,Demander un crédit,0
Modérer un débat,Dormir suffisamment,0
Conduire une voiture,Dessiner un portrait,0
Prendre un ferry,Prendre le métro,1
Installer une étagère,Nettoyer la maison,1
Prendre l'air frais,Comparer les prix,0
Conduire un camion,Pratiquer le surf,0
Dormir suffisamment,Réparer un ordinateur,0
Composer une mélodie,Peindre à l'aquarelle,1
Expliquer un concept,Enseigner les mathématiques,1
Rédiger une lettre,Animer une réunion,1
Conduire une trottinette,Faire de la randonnée,0
Faire de l'escalade,Jouer au tennis,1
Faire la vaisselle,Prendre l'air frais,0
Réparer un meuble,Laver les vitres,1
Faire de l'exercice,Passer un appel,0
Animer une réunion,Bricoler un objet,0
Pratiquer le yoga,Écrire une chanson,0
Faire du stretching,Acheter en ligne,0
Réparer un meuble,Gérer le stress,0
Faire du shopping,Demander un crédit,1
Modérer un débat,Calculer ses dépenses,0
Envoyer un email,Donner des conseils,0
Dormir suffisamment,Payer ses factures,0
Superviser des élèves,Présenter un projet,0
Faire un discours,Dessiner un portrait,0
Calculer ses dépenses,Négocier un prix,1
Faire les courses,Négocier un prix,1
Faire du stretching,Gérer le stress,1
Boire beaucoup d'eau,Gérer le stress,1
Composer une mélodie,Peindre à l'aquarelle,1
Faire une sauce,Préparer un plat,1
Pratiquer la relaxation,Prendre l'air frais,1
Faire de la physiothérapie,Prendre soin de sa peau,1
Peindre un mur,Faire griller de la viande,0
Planter des fleurs,Réparer une fuite,1
Corriger des copies,Jouer au football,0
Organiser un placard,Déployer une application,0
Créer une base de données,Faire la vaisselle,0
Composer une mélodie,Jouer de la batterie,1
Ranger la maison,Faire une omelette,0
Créer un site web,Utiliser un vélo électrique,0
Corriger des copies,Prendre soin de sa peau,0
Jouer au volleyball,Pratiquer le surf,1
Donner des conseils,Pratiquer le yoga,0
Faire du jogging,Faire du vélo,1
Laver les vitres,Conduire une trottinette,0
Configurer un réseau,Créer une base de données,1
Dormir suffisamment,Faire du stretching,1
Corriger des copies,Faire du ski,0
Pratiquer le yoga,Jouer au tennis,1
Créer un site web,Animer une discussion,0
Jouer au tennis,Jouer au basketball,1
Jouer du violon,Créer une œuvre,1
Prendre le train,Négocier un contrat,0
Préparer une salade,Enseigner les mathématiques,0
Pratiquer le yoga,Faire de la danse,1
Présenter un projet,Cuisiner un rôti,0
Planter des fleurs,Conduire une moto,0
Faire de l'exercice,Faire de la physiothérapie,1
Programmer en Python,Superviser des élèves,0
Faire de la danse,Jouer au volleyball,1
Modérer un débat,Écrire un message,1
Développer une application,Faire une présentation,0
Demander un crédit,Faire une tarte,0
Faire du shopping,Gérer ses finances,1
Conduire une voiture,Prendre l'avion,1
Préparer un gâteau,Analyser des données,0
Jouer au tennis,Pratiquer la boxe,1
Envoyer un email,Configurer un réseau,0
Jouer au basketball,Pratiquer la boxe,1
Conduire une trottinette,Bricoler un objet,0
Conduire un camion,Monitorer un système,0
Jouer au basketball,Prendre soin de sa peau,0
Calculer ses dépenses,Retourner un produit,1
Faire les courses,Déployer une application,0
Réparer un meuble,Conduire un camion,0
Animer une discussion,Créer un cours,1
Conduire un tracteur,Marcher en ville,1
Jouer au basketball,Organiser une formation,0
Expliquer un concept,Préparer une soupe,0
Créer un dessin,Jouer de la guitare,1
Négocier un contrat,Faire cuire des pâtes,0
Pratiquer le surf,Réparer un meuble,0
Ranger la maison,Organiser une formation,0
Courir un marathon,Animer une réunion,0
Gérer ses finances,Improviser au piano,0
Jouer de la batterie,Sculpter une statue,1
Boire beaucoup d'eau,Prendre l'air frais,1
Faire de la méditation,Faire de l'exercice,1
Prendre la parole,Rédiger une lettre,1
Configurer un réseau,Peindre à l'aquarelle,0
Configurer un réseau,Faire une sauce,0
Envoyer un email,Conduire une trottinette,0
Jouer de la batterie,Faire de la physiothérapie,0
Développer une application,Faire griller de la viande,0
Réparer un meuble,Gérer le stress,0
Créer un dessin,Chanter une chanson,1
Créer une base de données,Sécuriser un serveur,1
Utiliser un vélo électrique,Jouer au football,0
Prendre la parole,Utiliser un vélo électrique,0
Faire le ménage,Peindre un mur,1
Installer un logiciel,Réparer un ordinateur,1
Consulter un médecin,Prendre l'air frais,1
Organiser une formation,Prendre un bus,0
Éplucher des légumes,Dessiner un portrait,0
Prendre le train,Utiliser un taxi,1
Faire une sauce,Cuisiner des légumes,1
Faire une omelette,Jouer au football,0
Chanter une chanson,Jouer du violon,1
Déployer une application,Faire les courses,0
Faire de l'auto-stop,Faire du vélo,1
Faire du jogging,Boire beaucoup d'eau,0
Faire de l'auto-stop,Prendre le métro,1
Prendre un ferry,Utiliser un vélo électrique,1
Pratiquer le yoga,Créer une base de données,0
Jouer au volleyball,Dessiner un portrait,0
Faire de la maintenance,Faire de l'exercice,0
Faire du vélo,Retourner un produit,0
Donner des conseils,Conduire une voiture,0
Modérer un débat,Organiser une formation,0
Négocier un contrat,Calculer ses dépenses,0
Faire de la photographie,Faire un massage,0
Jouer au basketball,Pratiquer le yoga,1
Jouer de la guitare,Faire de la méditation,0
Planter des fleurs,Arroser les plantes,1
Faire un discours,Faire un bilan de santé,0
Optimiser un système,Négocier un prix,0
Nager en piscine,Faire le ménage,0
Peindre un mur,Entretenir le jardin,1
Créer un algorithme,Faire un discours,0
Pratiquer la relaxation,Faire ses comptes,0
Automatiser une tâche,Configurer un réseau,1
Interviewer quelqu'un,Faire du networking,1
Courir un marathon,Gérer son budget,0
Faire le ménage,Préparer une soupe,0
Sculpter une statue,Jouer du piano,1
Entretenir le jardin,Planter des fleurs,1
Conduire une voiture,Prendre des vitamines,0
Créer un algorithme,Monitorer un système,1
Demander un crédit,Faire ses comptes,1
Demander un crédit,Négocier un prix,1
Faire les courses,Dessiner un portrait,0
Programmer en Python,Utiliser un vélo électrique,0
Faire de l'auto-stop,Conduire une trottinette,1
Acheter des vêtements,Faire de la méditation,0
Conduire une trottinette,Jouer au basketball,0
Préparer une soupe,Faire une tarte,1
Installer une étagère,Ranger la maison,1
Configurer un réseau,Expliquer un concept,0
Envoyer un email,Dessiner un portrait,0
Tester un programme,Faire de la maintenance,1
Conduire une voiture,Faire griller de la viande,0
Conduire un camion,Prendre un bus,1
Calculer ses dépenses,Épargner de l'argent,1
Faire de la randonnée,Ranger la maison,0
Organiser un placard,Ranger la maison,1
Laver les vitres,Prendre soin de sa peau,0
Prendre soin de sa peau,Faire un bilan de santé,1
Sculpter une statue,Faire de la photographie,1
Développer une application,Analyser des données,1
Prendre le train,Préparer une leçon,0
Ranger la maison,Faire du ski,0
Faire la vaisselle,Faire le ménage,1
Chanter une chanson,Pratiquer le surf,0
Faire les courses,Écrire une chanson,0
Installer un logiciel,Programmer en Python,1
Rédiger une lettre,Envoyer un email,1
Écrire une chanson,Improviser au piano,1
Négocier un contrat,Modérer un débat,1
Sculpter une statue,Faire de la musculation,0
Jouer au tennis,Faire du ski,1
Utiliser un vélo électrique,Conduire une voiture,1
Sculpter une statue,Créer un dessin,1
Envoyer un email,Conduire une moto,0
Animer une discussion,Faire une présentation,1
Conduire une trottinette,Marcher en ville,1
Acheter des vêtements,Composer une mélodie,0
Chanter une chanson,Faire de la photographie,1
Acheter des vêtements,Programmer en Python,0
Préparer un gâteau,Modérer un débat,0
Pratiquer la relaxation,Boire beaucoup d'eau,1
Laver les vitres,Tailler les arbres,1
Cuire du riz,Prendre un ferry,0
Faire de la physiothérapie,Prendre l'air frais,1
Ranger la maison,Installer une étagère,1
Tester un programme,Sécuriser un serveur,1
Demander un crédit,Faire une omelette,0
Automatiser une tâche,Programmer en Python,1
Préparer une soupe,Planter des fleurs,0
Envoyer un email,Rédiger un rapport,1
Créer un dessin,Improviser au piano,1
Faire de l'exercice,Faire une omelette,0
Faire une sauce,Organiser un placard,0
Laver les vitres,Faire le ménage,1
Faire griller de la viande,Préparer un dessert,1
Aller chez le dentiste,Faire de l'escalade,0
Programmer en Python,Ouvrir un compte,0
Présenter un projet,Prendre la parole,1
Optimiser un système,Automatiser une tâche,1
Demander un crédit,Comparer les prix,1
Faire les courses,Rédiger une lettre,0
Conduire un camion,Prendre le train,1
Faire un bilan de santé,Entretenir le jardin,0
Jouer au basketball,Faire du jogging,1
Faire de l'escalade,Faire du jogging,1
Préparer un examen,Préparer une leçon,1
Conduire une voiture,Utiliser un scooter,1
Jouer du violon,Faire la vaisselle,0
Envoyer un email,Faire du networking,1
Faire de la maintenance,Configurer un réseau,1
Entretenir le jardin,Organiser un placard,1
Prendre des vitamines,Faire une omelette,0
Composer une mélodie,Composer une chanson,1
Ranger la maison,Planter des fleurs,1
Interviewer quelqu'un,Rédiger une lettre,1
Configurer un réseau,Monitorer un système,1
Automatiser une tâche,Optimiser un système,1
Jouer de la guitare,Composer une chanson,1
Faire de la randonnée,Faire du vélo,1
Prendre des vitamines,Faire de l'exercice,1
Prendre soin de sa peau,Créer un cours,0
Acheter des vêtements,Prendre l'air frais,0
Préparer un gâteau,Investir en bourse,0
Donner des conseils,Évaluer des étudiants,1
Pratiquer le yoga,Pratiquer la boxe,1
Prendre soin de sa peau,Gérer le stress,1
Prendre la parole en public,Préparer un gâteau,0
Prendre la parole,Interviewer quelqu'un,1
Cuire du riz,Faire une omelette,1
Prendre le train,Utiliser un taxi,1
Courir un marathon,Faire du jogging,1
Prendre des vitamines,Nettoyer la maison,0
Cuire du riz,Nettoyer la maison,0
Dormir suffisamment,Présenter un projet,0
Faire du vélo,Jouer du violon,0
Modérer un débat,Préparer un gâteau,0
Éplucher des légumes,Tondre la pelouse,0
Prendre la parole,Interviewer quelqu'un,1
Animer une réunion,Jouer au basketball,0
Courir un marathon,Faire du vélo,1
Installer une étagère,Tondre la pelouse,1
Faire un discours,Chanter une chanson,0
Écrire une chanson,Dessiner un portrait,1
Faire de la randonnée,Faire de la danse,1
Prendre des vitamines,Prendre l'air frais,1
Jouer de la batterie,Prendre la parole,0
Développer une application,Pratiquer le yoga,0
Courir un marathon,Jouer au tennis,1
Ranger la maison,Faire de la musculation,0
Prendre l'air frais,Faire de la méditation,1
Acheter des vêtements,Calculer ses dépenses,1
Faire du shopping,Faire de la musculation,0
Jouer du violon,Chanter une chanson,1
Organiser un placard,Créer une œuvre,0
Sculpter une statue,Chanter une chanson,1
Faire de l'auto-stop,Prendre l'avion,1
Faire une sauce,Faire une présentation,0
Faire la vaisselle,Prendre le métro,0
Faire de la photographie,Laver les vitres,0
Gérer ses finances,Demander un crédit,1
Prendre soin de sa peau,Sculpter une statue,0
Faire du vélo,Programmer en Python,0
Pratiquer le yoga,Jouer au volleyball,1
Faire griller de la viande,Cuisiner des légumes,1
Prendre le train,Faire de l'auto-stop,1
Prendre le train,Jouer au basketball,0
Faire de la danse,Faire de l'escalade,1
Courir un marathon,Jouer au football,1
Utiliser un vélo électrique,Prendre le train,1
Corriger des copies,Passer un appel,0
Réparer un meuble,Arroser les plantes,1
Préparer une soupe,Cuisiner un rôti,1
Faire le ménage,Planter des fleurs,1
Jouer au volleyball,Faire de la musculation,1
Faire le ménage,Nettoyer la maison,1
Envoyer un email,Préparer un dessert,0
Conduire une trottinette,Faire de la randonnée,0
Automatiser une tâche,Jouer au basketball,0
Sécuriser un serveur,Cuisiner un rôti,0
Faire de la photographie,Faire griller de la viande,0
Prendre l'air frais,Faire un bilan de santé,1
Préparer un gâteau,Faire une omelette,1
Installer un logiciel,Automatiser une tâche,1
Pratiquer le yoga,Composer une mélodie,0
Optimiser un système,Faire de l'escalade,0
Modérer un débat,Négocier un prix,0
Optimiser un système,Faire une sauce,0
Jouer au tennis,Tester un programme,0
Faire de l'auto-stop,Conduire un camion,1
Faire de la méditation,Faire le ménage,0
Faire une omelette,Préparer une soupe,1
Prendre la parole en public,Développer une application,0
Créer une base de données,Créer un algorithme,1
Modérer un débat,Faire de la musculation,0
Faire du vélo,Faire du jogging,1
Créer une base de données,Faire un massage,0
Faire de l'auto-stop,Enseigner les mathématiques,0
Acheter des vêtements,Négocier un prix,1
Sculpter une statue,Faire de la musculation,0
Programmer en Python,Évaluer des étudiants,0
Faire le ménage,Dormir suffisamment,0
Préparer une salade,Jouer au football,0
Utiliser un vélo électrique,Faire un bilan de santé,0
Créer une base de données,Créer un site web,1
Animer une discussion,Improviser au piano,0
Entretenir le jardin,Sculpter une statue,0
Faire une omelette,Faire une sauce,1
Présenter un projet,Faire un discours,1
Sécuriser un serveur,Faire une présentation,0
Faire de la maintenance,Sécuriser un serveur,1
Faire la vaisselle,Entretenir le jardin,1
Jouer au basketball,Préparer un gâteau,0
Organiser une formation,Passer un appel,0
Faire du stretching,Consulter un médecin,1
Créer un dessin,Corriger des copies,0
Jouer de la guitare,Improviser au piano,1
Peindre un mur,Prendre le train,0
Prendre le train,Prendre un ferry,1
Modérer un débat,Installer une étagère,0
Négocier un contrat,Faire un discours,1
Préparer une salade,Cuisiner un rôti,1
Faire la vaisselle,Animer une discussion,0
Automatiser une tâche,Faire un bilan de santé,0
Jouer de la guitare,Sculpter une statue,1
Optimiser un système,Créer une base de données,1
Installer un logiciel,Monitorer un système,1
Peindre un tableau,Écrire une chanson,1
Acheter des vêtements,Acheter en ligne,1
Prendre la parole,Évaluer des étudiants,0
Analyser des données,Gérer ses finances,0
Faire une omelette,Jouer de la batterie,0
Faire de la photographie,Écrire une chanson,1
Automatiser une tâche,Sécuriser un serveur,1
Acheter des vêtements,Faire de l'escalade,0
Programmer en Python,Prendre un bus,0
Faire de la danse,Créer un dessin,0
Faire une sauce,Bricoler un objet,0
Faire griller de la viande,Faire les courses,0
Négocier un contrat,Faire une présentation,1
Jouer au tennis,Faire de la danse,1
Analyser des données,Créer un algorithme,1
Faire du vélo,Sculpter une statue,0
Passer un appel,Utiliser un taxi,0
Prendre l'air frais,Pratiquer le surf,0
Chanter une chanson,Organiser un placard,0
Faire les courses,Gérer son budget,1
Courir un marathon,Négocier un prix,0
Nager en piscine,Faire du vélo,1
Conduire un camion,Faire du vélo,1
Cuire du riz,Donner des conseils,0
Faire une sauce,Cuisiner un rôti,1
Pratiquer la relaxation,Dormir suffisamment,1
Consulter un médecin,Préparer une soupe,0
Faire une sauce,Faire de l'auto-stop,0
Faire la vaisselle,Réparer une fuite,1
Ranger la maison,Faire de la physiothérapie,0
Animer une réunion,Écrire un message,1
Organiser une formation,Ranger la maison,0
Organiser un placard,Arroser les plantes,1
Consulter un médecin,Faire un massage,1
Peindre un tableau,Négocier un prix,0
Boire beaucoup d'eau,Donner un cours,0
Gérer ses finances,Gérer son budget,1
Conduire un camion,Conduire une trottinette,1
Optimiser un système,Cuire du riz,0
Préparer une salade,Créer un algorithme,0
Calculer ses dépenses,Prendre le métro,0
Chanter une chanson,Peindre un tableau,1
Tester un programme,Faire de la randonnée,0
Jouer de la guitare,Faire de la musculation,0
Préparer une soupe,Cuisiner des légumes,1
Faire de la physiothérapie,Prendre un ferry,0
Faire griller de la viande,Cuire du riz,1
Prendre l'air frais,Acheter en ligne,0
Créer un site web,Faire une présentation,0
Laver les vitres,Peindre un mur,1
Conduire un camion,Interviewer quelqu'un,0
Prendre des vitamines,Faire un bilan de santé,1
Faire de l'auto-stop,Prendre un ferry,1
Corriger des copies,Arroser les plantes,0
Faire un bilan de santé,Boire beaucoup d'eau,1
Sculpter une statue,Écrire une chanson,1
Consulter un médecin,Manger équilibré,1
Prendre des vitamines,Prendre l'air frais,1
Prendre la parole,Prendre la parole en public,1
Faire une omelette,Faire les courses,0
Faire du vélo,Retourner un produit,0
Cuire du riz,Conduire une trottinette,0
Tester un programme,Développer une application,1
Développer une application,Créer un algorithme,1
Prendre des vitamines,Faire du stretching,1
Boire beaucoup d'eau,Préparer un examen,0
Créer un dessin,Passer un appel,0
Créer un algorithme,Développer une application,1
Gérer ses finances,Faire du shopping,1
Créer un algorithme,Créer un site web,1
Pratiquer le yoga,Configurer un réseau,0
Passer un appel,Prendre la parole en public,1
Conduire un tracteur,Créer un dessin,0
Animer une discussion,Enseigner les mathématiques,1
Organiser un placard,Superviser des élèves,0
Prendre la parole,Programmer en Python,0
Jouer au tennis,Pratiquer la boxe,1
Automatiser une tâche,Conduire une voiture,0
Faire un bilan de santé,Faire du networking,0
Sécuriser un serveur,Faire de la maintenance,1
Passer un appel,Organiser une conférence,1
Négocier un contrat,Donner des conseils,0
Faire de l'exercice,Aller chez le dentiste,1
Faire du vélo,Pratiquer le surf,1
Écrire une chanson,Préparer un examen,0
Sculpter une statue,Improviser au piano,1
Calculer ses dépenses,Épargner de l'argent,1
Faire de la méditation,Faire de l'escalade,0
Programmer en Python,Demander un crédit,0
Faire de l'escalade,Pratiquer le yoga,1
Interviewer quelqu'un,Monitorer un système,0
Donner des conseils,Superviser des élèves,1
Laver les vitres,Faire le ménage,1
Envoyer un email,Organiser une conférence,1
Automatiser une tâche,Analyser des données,1
Rédiger une lettre,Animer une réunion,1
Créer un algorithme,Installer un logiciel,1
Acheter des vêtements,Installer une étagère,0
Composer une mélodie,Faire une présentation,0
Prendre soin de sa peau,Jouer au football,0
Sculpter une statue,Faire du networking,0
Tester un programme,Nettoyer la maison,0
Automatiser une tâche,Payer ses factures,0
Prendre la parole,Modérer un débat,1
Présenter un projet,Interviewer quelqu'un,1
Peindre un tableau,Pratiquer la relaxation,0
Préparer un gâteau,Faire de l'exercice,0
Préparer un examen,Animer une discussion,1
Faire du stretching,Calculer ses dépenses,0
Expliquer un concept,Donner des conseils,1
Faire de la méditation,Dessiner un portrait,0
Tester un programme,Aller chez le dentiste,0
Demander un crédit,Faire cuire des pâtes,0
Composer une mélodie,Prendre le métro,0
Présenter un projet,Animer une discussion,0
Chanter une chanson,Jouer de la guitare,1
Faire les courses,Investir en bourse,1
Organiser un placard,Ranger la maison,1
Demander un crédit,Faire de l'escalade,0
Créer une base de données,Acheter en ligne,0
Faire un discours,Passer un appel,1
Faire une sauce,Faire de la méditation,0
Courir un marathon,Consulter un médecin,0
Faire du jogging,Jouer au tennis,1
Jouer du violon,Faire de la randonnée,0
Écrire une chanson,Dormir suffisamment,0
Créer un algorithme,Préparer un examen,0
Faire de la danse,Pratiquer le yoga,1
Animer une discussion,Enseigner les mathématiques,1
Faire de la physiothérapie,Arroser les plantes,0
Préparer une soupe,Conduire une trottinette,0
Jouer au tennis,Configurer un réseau,0
Faire de l'auto-stop,Prendre le métro,1
Acheter des vêtements,Conduire une moto,0
Organiser un placard,Faire la vaisselle,1
Utiliser un vélo électrique,Jouer du violon,0
Faire un bilan de santé,Calculer ses dépenses,0
Faire du jogging,Jouer au football,1
Peindre un mur,Arroser les plantes,1
Demander un crédit,Gérer ses finances,1
Jouer au volleyball,Faire de la musculation,1
Rédiger une lettre,Préparer une leçon,0
Faire un bilan de santé,Créer un site web,0
Faire de la physiothérapie,Manger équilibré,1
Jouer de la guitare,Faire du shopping,0
Faire de la randonnée,Faire de l'escalade,1
Faire de la méditation,Enseigner les mathématiques,0
Faire du stretching,Ouvrir un compte,0
Programmer en Python,Cuisiner des légumes,0
Peindre un tableau,Faire ses comptes,0
Conduire un camion,Faire du stretching,0
Jouer au volleyball,Pratiquer la boxe,1
Écrire une chanson,Jouer du piano,1
Planter des fleurs,Nettoyer la maison,1
Expliquer un concept,Préparer un examen,1
Faire du shopping,Automatiser une tâche,0
Préparer une soupe,Réparer un ordinateur,0
Interviewer quelqu'un,Peindre à l'aquarelle,0
Cuire du riz,Faire cuire des pâtes,1
Donner des conseils,Superviser des élèves,1
Jouer de la guitare,Jouer de la batterie,1
Prendre soin de sa peau,Manger équilibré,1
Créer un site web,Superviser des élèves,0
Préparer un gâteau,Faire une omelette,1
Expliquer un concept,Enseigner les mathématiques,1
Faire de l'auto-stop,Conduire un camion,1
Programmer en Python,Faire du jogging,0
Jouer au tennis,Pratiquer le yoga,1
Envoyer un email,Négocier un contrat,1
Consulter un médecin,Donner des conseils,0
Pratiquer la relaxation,Préparer une salade,0
Optimiser un système,Gérer ses finances,0
Faire du ski,Ouvrir un compte,0
Faire de la danse,Pratiquer le yoga,1
Entretenir le jardin,Faire le ménage,1
Tester un programme,Analyser des données,1
Faire de l'auto-stop,Faire du vélo,1
Analyser des données,Faire du pain,0
Faire de la randonnée,Évaluer des étudiants,0
Préparer une salade,Tester un programme,0
Jouer au tennis,Évaluer des étudiants,0
Boire beaucoup d'eau,Tondre la pelouse,0
Laver les vitres,Négocier un contrat,0
Prendre un ferry,Prendre un bus,1
Prendre soin de sa peau,Aller chez le dentiste,1
Pratiquer la relaxation,Créer un algorithme,0
Prendre un ferry,Marcher en ville,1
Écrire une chanson,Jouer du piano,1
Déployer une application,Faire ses comptes,0
Préparer une salade,Marcher en ville,0
Prendre l'air frais,Prendre soin de sa peau,1
Jouer de la guitare,Faire du stretching,0
Préparer un gâteau,Optimiser un système,0
Organiser un placard,Entretenir le jardin,1
Cuire du riz,Organiser une formation,0
Expliquer un concept,Donner un cours,1
Faire du stretching,Aller chez le dentiste,1
Faire les courses,Dormir suffisamment,0
Sécuriser un serveur,Manger équilibré,0
Jouer du violon,Créer un dessin,1
Envoyer un email,Organiser une formation,0
Faire du vélo,Jouer du piano,0
Créer un site web,Rédiger une lettre,0
Éplucher des légumes,Optimiser un système,0
Faire les courses,Payer ses factures,1
Donner des conseils,Prendre l'avion,0
Interviewer quelqu'un,Faire une tarte,0
Interviewer quelqu'un,Arroser les plantes,0
Peindre un mur,Ranger la maison,1
Jouer de la batterie,Peindre un tableau,1
Donner des conseils,Acheter des vêtements,0
Faire de la méditation,Boire beaucoup d'eau,1
Négocier un contrat,Préparer une salade,0
Calculer ses dépenses,Faire ses comptes,1
Faire un bilan de santé,Faire une omelette,0
Programmer en Python,Utiliser un vélo électrique,0
